region,date,consumption
Bretagne,2017-03-07,3232
Bretagne,2017-03-08,3070
Bretagne,2017-03-09,2907
Bretagne,2017-03-10,2769
Bretagne,2017-03-11,2383
Bretagne,2017-03-12,2338
Bretagne,2017-03-13,2766
Bretagne,2017-03-14,3001
Bretagne,2017-03-15,2883
Bretagne,2017-03-16,2801
Bretagne,2017-03-17,2704
Bretagne,2017-03-18,2461
Bretagne,2017-03-19,2256
Bretagne,2017-03-20,2772
Bretagne,2017-03-21,2861
Bretagne,2017-12-22,3206
Bretagne,2017-12-23,2792
Bretagne,2017-12-24,2632
Bretagne,2017-12-25,2616
Bretagne,2017-12-26,3197
Bretagne,2017-12-27,3449
Bretagne,2017-12-28,3645
Bretagne,2017-12-29,3310
Bretagne,2017-12-30,2782
Bretagne,2017-12-31,2635
Bretagne,2018-01-01,2718
Bretagne,2018-01-02,3059
Bretagne,2018-01-03,3149
Bretagne,2018-01-04,3073
Bretagne,2018-01-05,3120
Bretagne,2018-01-06,3058
Bretagne,2018-01-07,3105
Bretagne,2018-01-08,3563
Bretagne,2018-01-09,3527
Bretagne,2018-01-10,3344
Bretagne,2018-01-11,3362
Bretagne,2018-01-12,3674
Bretagne,2018-01-13,3322
Bretagne,2018-01-14,3107
Bretagne,2018-01-15,3465
Bretagne,2018-01-16,3359
Bretagne,2018-01-17,3553
Bretagne,2018-01-18,3349
Bretagne,2018-01-19,3407
Bretagne,2018-01-20,2956
Bretagne,2018-01-21,2628
Bretagne,2018-01-22,3001
Bretagne,2018-01-23,3117
Bretagne,2018-01-24,3087
Bretagne,2018-01-25,3220
Bretagne,2018-01-26,3367
Bretagne,2018-01-27,3102
Bretagne,2018-01-28,2629
Bretagne,2018-01-29,3059
Bretagne,2018-01-30,3122
Bretagne,2018-01-31,3246
Bretagne,2018-02-01,3532
Bretagne,2018-02-02,3567
Bretagne,2018-02-03,3202
Bretagne,2018-02-04,3141
Bretagne,2018-02-05,3855
Bretagne,2018-02-06,4066
Bretagne,2018-02-07,3998
Bretagne,2018-02-08,3899
Bretagne,2018-02-09,3697
Bretagne,2018-02-10,3427
Bretagne,2018-02-11,3015
Bretagne,2018-02-12,3670
Bretagne,2018-02-13,3793
Bretagne,2018-02-14,3869
Bretagne,2018-02-15,3387
Bretagne,2018-02-16,3619
Bretagne,2018-02-17,3044
Bretagne,2018-02-18,2836
Bretagne,2018-02-19,3211
Bretagne,2018-02-20,3287
Bretagne,2018-02-21,3403
Bretagne,2018-02-22,3686
Bretagne,2018-02-23,3820
Bretagne,2018-02-24,3557
Bretagne,2018-02-25,3371
Bretagne,2018-02-26,4039
Bretagne,2018-02-27,4335
Bretagne,2018-02-28,4593
Bretagne,2018-03-01,4655
Bretagne,2018-03-02,4041
Bretagne,2018-03-03,3319
Bretagne,2018-03-04,2876
Bretagne,2018-03-05,3305
Bretagne,2018-03-06,3496
Bretagne,2018-03-07,3388
Bretagne,2018-03-08,3338
Bretagne,2018-03-09,3170
Bretagne,2018-03-10,2550
Bretagne,2018-03-11,2481
Bretagne,2018-03-12,3056
Bretagne,2018-03-13,3064
Bretagne,2018-03-14,3157
Bretagne,2018-03-15,3102
Bretagne,2018-03-16,3127
Bretagne,2018-03-17,2993
Bretagne,2018-03-18,3005
Bretagne,2018-03-19,3850
Bretagne,2018-03-20,3833
Bretagne,2018-03-21,3636
Bretagne,2018-12-22,2656
Bretagne,2018-12-23,2495
Bretagne,2018-12-24,2569
Bretagne,2018-12-25,2450
Bretagne,2018-12-26,3160
Bretagne,2018-12-27,3457
Bretagne,2018-12-28,3405
Bretagne,2018-12-29,3136
Bretagne,2018-12-30,2779
Bretagne,2018-12-31,2923
Bretagne,2019-01-01,2700
Bretagne,2019-01-02,3173
Bretagne,2019-01-03,3621
Bretagne,2019-01-04,3840
Bretagne,2019-01-05,3632
Bretagne,2019-01-06,3284
Bretagne,2019-01-07,3553
Bretagne,2019-01-08,3409
Bretagne,2019-01-09,3534
Bretagne,2019-01-10,3715
Bretagne,2019-01-11,3571
Bretagne,2019-01-12,3062
Bretagne,2019-01-13,2801
Bretagne,2019-01-14,3245
